id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
825,17.05,40.31,6.89,10.36,50.39,38.18,111.97,0.03,0.05,0.04,0.03,0.59,-41.82,31.23,0.86,0.55,111.77,-6.9,0.5,2.11,7.2,0.43,0.58,-1.07,1.22,0.55,0.02,0.57,N
826,5.38,28.37,11.51,9.1,30.99,440.98,553.78,0.08,0.04,0.08,0.04,0.72,5.97,-9.61,0.45,0.46,-14.47,-4.88,0.48,1.11,7.27,0.44,0.49,-0.75,0.9,0.95,0.02,0.65,N
827,9.5,33.13,7.84,11.42,10.6,28.07,34.2,0.06,0.05,0.06,0.07,0.46,-7.99,1.03,-0,0.46,2.09,-8,0.42,-2.09,3.29,0.45,1,0.33,1.02,0.01,0.02,0.56,N
828,4.07,14.58,8.65,8.29,15.12,25.48,44.83,0.06,0.04,0.13,0.08,1.15,-1.97,9.82,0.91,0.57,4.8,-90.75,0.38,-1.14,1.99,0.41,0.55,-1.01,1.99,0.21,0.01,0.6,N
829,7.12,47.46,7.65,24.57,18.39,87.15,56.45,0.08,0.04,0.04,0.05,0.39,5.33,5.04,1.13,0.55,27.13,-3.55,0.47,0.96,15.3,0.53,0.49,-0.34,0.43,0.61,0.02,0.63,N
830,6.98,11.97,9.18,12.72,17.36,25.48,32.85,0.05,0.04,0.04,0.05,1.34,-1094.04,31.04,0.81,0.51,-69.44,144.56,0.52,-1.3,3.25,0.38,0.42,-1.55,1.54,0.57,0.02,0.59,N
831,4.95,20.91,6.46,8.33,35.2,30.27,27.84,0.06,0.11,0.05,0.07,0.97,-2.48,4.7,0.86,0.57,3.83,5.22,0.54,-1.32,3.49,0.42,0.61,-0.7,1.68,0.46,0.02,0.02,N
832,15.61,10.8,9.25,12.79,9.98,42.42,36.46,0.06,0.04,0.04,0.05,3.17,-3.77,1.65,1.4,0.64,2.41,2.7,0.61,0.93,24.29,0.6,0.59,-0.67,1.14,-0.02,0,0.54,N
833,-1.15,66.6,11.55,22.08,37.81,101.97,171.1,0.09,0.05,0.05,0.05,0.34,-3.36,-354.09,0.52,0.52,6.74,-4.9,0.5,-1.61,3.15,0.42,0.55,-0.27,1.28,0.48,0.02,0.63,N
834,4.04,11.16,7.15,10.89,8.19,70.56,75.5,0.05,0.06,0.06,0.05,1.46,-3.26,-6.28,0.61,0.6,43.66,-96.34,0.52,0.51,18.12,0.63,0.61,-1.18,1.74,0.47,0.02,0.63,N
835,6.72,19.88,8.68,8.07,29.08,185.42,76.77,0.03,0.11,0.08,0.04,0.81,-129.59,-18.21,1.12,0.5,-22.14,-2.9,0.44,-1.2,4.77,0.43,0.58,-0.48,1.55,0.02,0.01,0.56,N
836,5.1,26.55,10.6,7.93,31.89,42.17,41.23,0.05,0.07,0.04,0.06,2.35,11.85,7.16,0.59,0.58,-44.85,3.36,0.55,-1.9,4.68,0.4,0.49,-0.92,1.11,0.31,0.02,0.6,N
837,6.12,15.9,7.85,7.61,17.36,38.62,38.73,0.03,0.04,0.05,0.04,0.79,6.45,101.42,1.05,0.52,-11.67,-5.22,0.49,-1.35,2.44,0.41,0.59,-1.18,1.31,0.34,0.01,0.64,N
838,6.64,17.19,9.64,10.07,13.43,327.35,303.48,0.05,0.06,0.07,0.06,1.14,25.39,-4.63,0.49,0.52,-6.14,-1.95,0.48,-0.76,-0.9,0.38,0.53,-0.7,0.88,0.79,0.02,0.63,N
839,-1.18,14.16,7.68,9.57,20.38,25.82,25.34,0.05,0.07,0.23,0.1,0.57,-8.68,3.35,1.17,0.49,4.63,4.01,0.51,-2.46,3.93,0.43,0.56,-0.09,1.03,0.08,0.01,0.52,N
840,5.96,13.19,7.69,11.04,15.83,68.42,91.68,0.05,0.05,0.05,0.07,0.79,-29.74,16.38,0.93,0.47,68.49,-4.64,0.5,1.21,4.25,0.52,0.5,-0.52,1.17,0.41,0.01,0.61,N
841,5.96,18.94,8.24,8.09,19.13,162.93,313.52,0.05,0.04,0.06,0.05,2.3,12.78,5.45,1.33,0.6,-15.69,-3.09,0.51,1.18,6.61,0.51,0.51,-0.99,1.29,0.52,0.01,0.49,N
842,6.3,16.61,8.1,12.92,20.14,592.5,346.69,0.04,0.05,0.05,0.05,1.24,2.66,1.05,1.61,0.53,7.44,-3.4,0.52,1.43,10.82,0.51,0.57,-0.7,0.84,0.94,0.02,0.68,N
843,3.88,15.92,6.63,7.18,31.35,32.5,27.71,0.06,0.04,0.04,0.03,5.4,-2.91,56.08,0.43,0.57,11.79,4.04,0.52,-0.24,-5.74,0.39,0.5,-1.22,1.59,0.24,0.01,0.54,N
844,4.31,17.14,9.72,7.9,13.58,91.46,41.22,0.04,0.06,0.05,0.06,6.12,-606.38,-23.09,0.41,0.64,-16.24,4.52,0.55,1.45,19.34,0.53,0.54,-1.37,1.16,1.15,0.02,0.55,N
845,4.71,24.74,8.87,16.04,8.89,75.78,59.6,0.06,0.05,0.1,0.12,0.69,-3.27,-21.78,0.08,0.55,9.03,-51.27,0.51,0.12,-9.59,0.34,0.5,-0.17,1.02,0.51,0.02,0.62,N
846,7.43,28.71,9.05,15.8,22.07,42.67,43.29,0.04,0.19,0.04,0.04,1.62,-4.9,-8.18,0.61,0.57,-67.79,-8.16,0.5,1.3,6.01,0.5,0.49,-1.24,1.28,0.77,0.02,0.62,N
847,5.95,28.56,7.49,6.27,23.63,62.05,52.82,0.05,0.04,0.05,0.04,6.84,-22.03,-57.18,0.45,0.63,-18.17,6.17,0.53,1.48,4.67,0.48,0.53,-1.48,0.67,0.38,0.02,0.63,N
848,5.98,24.94,7.32,8.74,14.79,53.61,105.22,0.04,0.05,0.04,0.04,2.4,-16.9,2.69,1.08,0.53,8.67,-21.03,0.54,1.38,13.21,0.52,0.64,-0.47,1.3,0.53,0.02,0.6,N
849,3.77,16.15,10.19,10.3,11.89,68.47,60.85,0.05,0.04,0.05,0.06,1.18,-4.4,19.93,0.56,0.58,9.71,-29.98,0.52,1.38,2.65,0.44,0.52,-0.96,1.66,0.57,0.01,0.51,N
850,5.74,13.95,7.35,8.48,55.24,461.83,296.37,0.04,0.07,0.03,0.03,1.3,27.16,-6.34,0.41,0.6,-5.35,-7.85,0.47,2.8,5.34,0.41,0.5,-1.31,1.2,0.59,0.02,0.64,N
851,14.51,20.3,9.41,9.4,10.15,50.54,37.78,0.07,0.05,0.09,0.08,4.57,-21.38,11.88,0.79,0.58,23.91,8.37,0.52,0.72,10.74,0.59,0.5,-0.73,1.41,0.68,0.02,0.58,N
852,4.95,17.35,10.57,8.03,31.27,27.18,20.98,0.04,0.06,0.07,0.05,0.53,-2.6,6.07,1.01,0.6,4.1,-9.92,0.53,-2.04,5.32,0.4,0.59,-0.4,0.66,0.23,0.02,0.57,N
853,2.66,11.41,10.94,7.34,11.31,34.95,43.21,0.05,0.04,0.04,0.04,0.85,-5.99,-10.17,0.55,0.61,18.74,-6.26,0.54,0.52,20.58,0.61,0.43,-1.38,1.36,0.46,0.02,0.57,N
854,5.39,12.22,7.74,9.98,16.66,19.82,18.84,0.03,0.04,0.03,0.05,0.86,-1.07,0.6,1.12,0.53,0.68,1.04,0.59,-2.08,2.88,0.34,0.75,0.44,1.17,-0.21,0.02,0.58,N
855,6.45,11.32,9.19,7.09,42.3,25.57,23.35,0.06,0.04,0.04,0.04,4.91,-6.3,2.16,1.26,0.61,4.41,4.44,0.51,1,4.47,0.4,0.53,-1.68,0.79,0.61,0,0.57,N
856,-1.07,14.16,11.12,8.82,39.12,71.27,96.7,0.09,0.07,0.04,0.06,0.38,4.17,4.37,1.33,0.54,7.14,-15.31,0.47,1.12,7.05,0.55,0.41,-0.23,0.97,-0.01,0.01,0.02,N
857,6.87,38.66,6.61,8.69,17.39,85.94,87.52,0.05,0.04,0.04,0.04,0.73,18.07,16.98,0.41,0.43,-86.26,-41.46,0.5,-0.42,-4.1,0.26,0.46,-1,1.44,0.51,0.01,0.49,N
858,12.34,23.14,11.71,6.93,13.2,33.13,27.18,0.04,0.03,0.04,0.04,1.53,-1.19,1.12,1.13,0.54,1.51,3.05,0.48,-1.16,-0.88,0.29,0.69,-0.49,0.34,0.16,0.01,0.42,N
859,5.04,25.35,12.47,9.36,17.65,24.87,24.91,0.08,0.04,0.04,0.03,0.8,-3.74,2.03,1.38,0.51,4,3.88,0.57,-0.75,7.77,0.37,0.5,-0.82,1.54,0.46,0.01,0.6,N
860,4.96,15.1,9.07,8.43,12.88,21.48,23.59,0.04,0.03,0.06,0.04,2.51,-8.17,3.34,0.82,0.58,8.52,2.61,0.56,1.01,7.96,0.55,0.53,-0.92,1.57,0.24,0.02,0.63,N
861,3.36,16.55,9.03,8.24,19.61,80.85,34.72,0.04,0.04,0.03,0.05,1.13,-1.17,1.64,0.4,0.56,1.8,4.19,0.41,-1.08,-0.02,0.39,0.83,-0.46,1.56,0.2,0.01,0.39,N
862,3.91,15.52,8.32,16.49,32.24,97.78,111.83,0.04,0.04,0.13,0.11,0.99,15.92,10.48,0.56,0.6,24.29,-3.55,0.54,0.71,19.17,0.61,0.54,-0.5,1.38,0.62,0.02,0.6,N
863,6.95,12.56,8.63,8.63,18.42,18.98,18.68,0.05,0.07,0.04,0.04,1.01,-4.49,22.87,0.73,0.54,9.12,4.28,0.51,1.48,5.61,0.45,0.56,-1.34,1.9,0.44,0.02,0.54,N
864,6.36,15.38,7.26,7.1,21.89,44,50.93,0.04,0.03,0.05,0.06,-24.07,-3.4,-43.1,0.52,0.5,-93.82,2.42,0.53,1.43,4.93,0.51,0.59,-0.87,1.5,-0.39,0.02,0.6,N
865,5.06,12.19,7.41,11.94,17.96,24.56,28.53,0.05,0.03,0.09,0.08,0.95,-3.6,3.32,1.34,0.52,4.74,-9.93,0.48,1.72,-4.65,0.43,0.51,-0.53,0.94,0.43,0.01,0.59,N
866,3.97,15.45,8.36,15.74,19.44,42.94,66.54,0.06,0.08,0.05,0.05,0.65,-3.19,6.42,0.75,0.5,17.19,-47.83,0.39,-0.31,-7.31,0.38,0.39,-0.53,2.35,0.76,0,0,N
867,5.02,19.44,7.23,8.08,12.42,35.63,36.81,0.04,0.04,0.05,0.05,2.22,-2.89,-14.81,0.37,0.58,-50.19,4.34,0.53,1.59,3.47,0.46,0.5,-0.77,1.56,0.24,0.02,0.62,N
868,13.56,11.5,8.17,9.94,21.68,20.39,18.61,0.03,0.03,0.11,0.06,1.45,-1.33,4,1.05,0.56,2.51,2.78,0.57,-1.15,0.26,0.36,0.56,-1.02,0.38,0.15,0.01,0.54,N
869,6.5,15.75,11.15,10.56,15.04,26.17,25.52,0.05,0.09,0.07,0.07,0.77,-2.64,-7.46,0.6,0.57,14.75,-9.75,0.5,-1.46,2.23,0.44,0.59,-0.65,1.71,0.04,0.02,0.57,N
870,4.72,21.11,7.65,9.25,13.66,41.55,62.56,0.07,0.06,0.05,0.06,8.86,-4.74,12.87,0.54,0.56,14.89,2.53,0.5,1.24,4.43,0.44,0.52,-0.78,1.36,0.65,0.02,0.62,N
871,4.68,19.98,9.24,6.09,11.08,44.78,47.64,0.09,0.11,0.15,0.29,15.01,-11.72,5.25,0.52,0.53,16.69,-18.87,0.44,1.07,4.49,0.4,0.51,-0.59,1,0.77,0.02,0.65,N
872,6.57,17.67,6.94,7.91,23.04,50.31,43.76,0.04,0.04,0.04,0.09,0.97,-4.85,9.07,0.83,0.56,8.43,-12.51,0.49,1.36,15.83,0.57,0.64,-0.69,1.26,0.55,0.02,0.64,N
873,-0.76,20.11,9.95,6.36,10.97,40.23,34.39,0.04,0.06,0.03,0.04,0.84,5.58,-13.98,0.66,0.52,-6.1,-6.87,0.46,1.68,5.09,0.41,0.52,-1.53,0.97,0.28,0.01,0.63,N
874,7.78,14.53,11.89,8.37,37.13,18.47,23.61,0.07,0.09,0.08,0.05,0.59,-5.49,5.97,0.93,0.52,7.83,-3.02,0.46,1.47,11,0.51,0.63,-0.41,1.46,0.77,0.02,0.58,N
875,16.45,12.7,44.05,6.95,24.65,28.26,20.73,0.07,0.04,0.03,0.04,0.47,-16.32,-20.11,0.87,0.53,-30.55,-3.61,0.44,1.46,2.06,0.47,0.52,-0.98,0.59,0.17,0.01,0.54,N
876,4.34,20.19,9.01,5.75,53.4,51.7,70.14,0.05,0.06,0.04,0.03,12.38,-11.04,-36.48,0.44,0.63,-38.22,5.17,0.54,1.59,6.2,0.46,0.54,-1.34,1.15,0.38,0.02,0.62,N
877,4.38,27.14,10.81,8.59,44.03,361.66,270.51,0.11,0.05,0.1,0.06,2.08,-10.71,3.43,1.08,0.48,6.3,-34.28,0.5,0.51,27.25,0.68,0.74,-0.82,1.71,0.39,0.02,0.62,N
878,-1.72,15.59,6.75,9.11,29.76,26.89,27.73,0.06,0.07,0.06,0.04,6.26,-3.35,7.87,0.79,0.59,7.05,2.25,0.51,-0.85,0.34,0.39,0.54,-1.64,1.47,0.41,0.02,0.6,N
879,5.63,10.05,11.01,7.13,20.03,44.07,57.55,0.04,0.06,0.03,0.04,1.84,-3.4,4.75,1.11,0.54,5.21,4.36,0.51,-0.85,0.59,0.36,0.41,-2.13,1.17,0.2,0.01,0.6,N
880,6.42,11.2,7.27,8.86,32.22,33.06,45.32,0.03,0.04,0.04,0.04,6.03,-4.11,3.98,0.73,0.6,4.86,1.54,0.46,-0.29,-4.16,0.41,0.38,-1.45,2.12,-0.21,0.01,0.51,N
881,5.71,22.73,9.88,9.76,28.04,50.96,162.98,0.06,0.04,0.06,0.1,291.76,-6.33,3.79,0.94,0.53,6.41,4.27,0.49,1.24,6.56,0.45,0.53,-0.99,2.03,0.62,0.01,0.58,N
882,5.5,55.34,7.58,13.79,97.91,46.72,63.9,0.03,0.04,0.04,0.05,1.56,-2.75,11.52,1.16,0.46,4.63,-5.61,0.43,-1.3,2.24,0.37,0.52,-0.69,0.62,0.69,0.01,0.49,N
883,5.73,18.44,10.2,7.45,22.96,72.91,45.41,0.03,0.06,0.07,0.05,0.67,-3.82,2.92,2.13,0.59,3.63,-3.9,0.46,1.24,7.38,0.48,0.47,-0.19,0.37,0.6,0.02,0.54,N
884,3.43,22.45,8.51,7.87,11.29,49.04,48.82,0.04,0.04,0.04,0.04,1,-2.69,1.87,1.81,0.56,2.54,47.31,0.43,3.02,6.41,0.37,0.52,0.02,0.43,0.21,0.02,0.59,N
885,5.88,11.26,6.19,6.53,27.53,23.82,22.75,0.03,0.04,0.05,0.05,1.04,-390.46,-6.8,0.61,0.55,-9.65,-5.16,0.51,-1.4,4.98,0.39,0.58,-1.1,1.07,0.77,0.02,0.65,N
886,4.05,22.58,16.77,12.98,18.68,41.38,49.06,0.07,0.06,0.05,0.06,1.08,-6.12,2.5,1.04,0.57,3.48,-6.57,0.47,1.26,1.5,0.44,0.48,-0.37,1.62,0.4,0.01,0.64,N
887,13.99,21.51,9.83,11.52,36.52,26.41,32.99,0.03,0.05,0.06,0.04,1.09,-4.84,-12.9,0.29,0.6,-27.46,5.24,0.52,1.63,0.5,0.44,0.52,-0.57,1.71,0.47,0.02,0.63,N
888,5.47,28.72,7.83,6.72,16.55,218.06,82.15,0.1,0.09,0.07,0.05,0.6,10.68,-20.37,0.89,0.45,-10.56,-2.64,0.49,1.31,2.36,0.47,0.51,-0.77,1.33,0.48,0.02,0.65,N
889,14.16,13.39,8.25,10.82,21.66,62.27,25.61,0.03,0.04,0.06,0.07,0.72,-4.1,5.42,0.63,0.59,4.83,7.57,0.55,1.39,2.57,0.45,0.53,-0.38,0.74,0.15,0.01,0.55,N
890,7.11,11.6,10.68,14.21,13.69,58.81,54.87,0.07,0.04,0.16,0.05,0.9,-2.56,3.04,1.44,0.6,2.84,-14.89,0.52,1.35,9.06,0.49,0.54,-0.16,1.23,0.69,0.02,0.58,N
891,14.81,19.57,8.7,6.89,11.66,50.12,50.19,0.05,0.03,0.05,0.07,8.38,25.53,4.76,0.77,0.56,12.4,-1774.16,0.5,1.29,8.88,0.47,0.55,-1.2,0.74,0.53,0.02,0.61,N
892,5.27,26.21,9.68,10.37,12.31,49.1,88.63,0.07,0.05,0.05,0.08,5.09,-1.67,-115.02,0.55,0.57,6.97,2.5,0.51,-0.85,2.2,0.31,0.57,-0.76,1.27,0.4,0.01,0.52,N
893,5.03,12.03,8.7,11.46,24.56,60.52,48.2,0.04,0.05,0.04,0.05,0.97,-2.08,3.27,0.76,0.51,3.17,3.39,0.52,-0.18,-4.69,0.1,0.62,-0.75,0.83,0.49,0.02,0.62,N
894,14.16,27.65,7.82,10.85,15.37,76.37,69.7,0.04,0.05,0.04,0.03,0.71,-3.9,17.56,0.88,0.55,8.85,-6.2,0.48,-1.1,1.88,0.4,0.6,-0.19,0.98,0.44,0.02,0.62,N
895,5.01,23.08,10.42,7.87,14.12,34.2,40.38,0.06,0.03,0.05,0.05,0.71,-22.56,4.16,1.04,0.48,8.04,33.01,0.52,1.43,0.7,0.44,0.52,-0.52,1.35,0.32,0.02,0.6,N
896,-0.13,16.17,7.61,8.33,19.59,59.26,51.53,0.06,0.1,0.2,0.15,1.31,-2.07,2.66,0.85,0.62,2.51,3.52,0.59,-0.23,-8.81,0.39,0.38,-1.04,1.93,0.46,0.01,0.63,N
897,-0.84,14.6,11.7,9.75,21.77,29.71,65.95,0.07,0.09,0.04,0.05,0.49,-58.59,4.77,0.98,0.55,-126.52,-9.47,0.51,-0.62,-3.04,0.36,0.62,-0.53,0.83,0.31,0.02,0.62,N
898,4.55,34.9,6.83,7.67,15.34,24.09,23.71,0.04,0.04,0.03,0.03,0.9,-2.38,2.57,1.39,0.51,2.7,-32.85,0.49,-1.02,0.62,0.42,0.55,-1.15,0.34,0.33,0.01,0.31,N
899,14.07,27.48,10.45,7.95,28.55,232.07,289.28,0.07,0.04,0.06,0.06,0.39,7.73,11.61,0.44,0.58,217.67,-28.88,0.52,0.48,-8.07,0.09,0.49,-0.43,1.11,-0.07,0.02,0.61,N
900,-0.02,13.56,8.7,9.08,21.96,26.45,19.43,0.04,0.18,0.16,0.1,1.17,-0.89,4.28,0.51,0.4,1.4,54.53,0.48,1.04,-1.49,0.41,0.24,-0.43,1.75,0.7,0,0,N
901,4.14,22.77,8.13,7.86,26,128.69,92.53,0.07,0.08,0.07,0.05,5.01,-3.06,2.3,1.08,0.51,3.21,-6.81,0.55,-0.56,-2.66,0.39,0.58,-0.15,0.96,0.73,0.02,0.55,N
902,5.89,25.66,12.21,8.27,23.25,116.94,163.94,0.2,0.07,0.07,0.07,0.67,-4.75,4.54,1.28,0.54,3.62,-31.98,0.51,1.19,5.88,0.44,0.57,-0.29,1.21,0.55,0.02,0.64,N
903,5.26,11.34,6.96,7.41,11.15,40.09,62.3,0.03,0.04,0.04,0.04,1.69,-4.13,4.56,0.76,0.61,4.39,4.61,0.54,0.72,17.75,0.66,0.54,-0.99,1.12,0.31,0.02,0.6,N
904,6.22,10.3,8.66,8.62,17.78,52.77,60.07,0.07,0.13,0.11,0.13,0.65,-2.69,2.19,2.43,0.51,2.59,-2.78,0.3,-0.25,-5.9,0.41,0.27,0.6,0.31,0.31,0.01,0.64,N
905,6.02,37.26,12.97,7.87,25.63,76.49,109.94,0.07,0.06,0.05,0.11,1.07,25.61,8.53,1.01,0.53,-35.94,-3.43,0.52,0.21,-7.85,0.28,0.43,-0.58,1.29,0.54,0.02,0.64,N
906,4.88,14.87,7.29,7.82,20.01,27.42,27.94,0.05,0.1,0.04,0.05,1.94,-3.63,5.4,0.91,0.6,7.87,2.58,0.56,1.76,5.8,0.44,0.49,-1.1,1.38,0.34,0.02,0.58,N
907,5.69,33.2,9.1,8.43,21.27,159.79,110.15,0.04,0.04,0.12,0.08,0.58,4.86,4.23,0.51,0.54,18.56,-13.04,0.54,1.44,4.68,0.39,0.51,-0.43,1.5,0.56,0.02,0.57,N
908,7.92,24.44,9.8,9.02,10.71,334.38,311.97,0.06,0.04,0.03,0.03,0.99,-15.58,0.61,1.5,0.55,1.88,4.21,0.52,1.21,12.65,0.5,0.59,-0.07,0.99,0.44,0.02,0.54,N
909,17.02,22.8,6.87,9.28,15.48,22.56,24.82,0.04,0.05,0.09,0.06,1.08,-15.13,-10.42,0.85,0.49,-44.22,-15.29,0.53,0.87,8.14,0.6,0.44,-0.8,1.06,0.28,0.02,0.61,N
910,14.8,10.55,8.14,12.42,23.73,51.84,41.5,0.09,0.05,0.07,0.05,1.01,-15.75,7.38,0.83,0.59,6.99,4.02,0.56,1.27,16.01,0.53,0.5,-0.68,1,0.54,0.01,0.56,N
911,5.72,16.86,7.18,7.94,16.61,41.03,47.34,0.04,0.03,0.03,0.03,2.08,-4.81,4.14,1.47,0.56,8.95,7.04,0.44,-1.06,1.23,0.38,0.61,-1.12,1.47,0.38,0.02,0.55,N
912,6.31,13.69,7.61,9.88,14.01,214.64,155.89,0.04,0.05,0.06,0.2,0.95,-13.91,8.57,0.89,0.64,12.91,8.83,0.58,1.15,14.16,0.54,0.53,-1.04,1.25,0.6,0.02,0.55,N
913,13.16,13.68,10.17,6.24,13.98,48.04,64.7,0.06,0.04,0.04,0.04,1.08,-5.31,5.42,1.19,0.59,6.25,19.53,0.54,1.5,11.68,0.55,0.51,-0.86,1.61,0.13,0.01,0.63,N
914,6,23.01,26.12,8.35,22.84,269.27,702.3,0.09,0.05,0.08,0.06,0.69,10.85,21.38,0.69,0.49,15.7,-3.06,0.46,1,7.33,0.54,0.52,-0.08,1.18,0.74,0.02,0.03,N
915,13.38,8.06,8.13,7.68,7.7,15.89,17.18,0.05,0.04,0.07,0.07,5.54,-1.18,2.11,1.51,0.61,2.11,9.69,0.53,1.43,3.75,0.51,0.47,-0.05,0.81,0.35,0.01,0.43,N
916,-0.26,13.35,7.65,12.35,20.69,44.07,36.49,0.08,0.06,0.04,0.04,1.7,12.18,-10.11,0.43,0.61,-11.12,-6.66,0.53,1.55,11.17,0.47,0.54,-1.15,1.32,0.9,0.02,0.65,N
917,0.13,14.31,10.1,6,16.05,45.72,60.53,0.1,0.04,0.06,0.04,0.9,-8.5,2.83,1.31,0.64,4.88,11.12,0.5,1.31,14.51,0.49,0.59,-1.05,0.45,0.82,0.01,0.58,N
918,4.81,15.05,10.5,11.42,8.65,46.36,55.99,0.06,0.13,0.13,0.13,5.68,-3.32,71.84,3.3,0.59,23.41,-0.86,0.26,0.13,-3.96,0.36,0.59,1.09,0.52,0.31,0.02,0.65,N
919,6.04,12.27,12.62,8.76,35.87,24.39,37.32,0.06,0.06,0.05,0.03,1.11,-25,-3.98,0.21,0.55,-5.73,10.43,0.5,2.14,5.4,0.47,0.51,-0.95,1.33,0.55,0.02,0.63,N
920,5.53,25.8,5.78,7.45,29.1,80.17,78.19,0.06,0.06,0.05,0.03,1.05,6.18,-108.72,0.59,0.5,-10,-8.38,0.5,1.62,5.47,0.44,0.52,-1.31,1.04,0.61,0.02,0.59,N
921,6.61,20.08,8.09,10.5,19.62,32.86,52.83,0.04,0.06,0.08,0.07,4.95,-3.92,2.19,1.16,0.57,2.71,4.5,0.52,1.52,9.53,0.45,0.61,-1.16,2.38,0.77,0.02,0.62,N
922,-0.79,29.24,8.29,6.31,10.72,29.43,47.94,0.05,0.05,0.07,0.05,0.8,-4.62,4.11,0.57,0.59,5.92,9.66,0.5,-0.77,-2.2,0.41,0.52,-0.83,2.13,0.59,0.02,0.58,N
923,13.53,19.42,7.47,9.71,19.19,35.45,24.82,0.05,0.04,0.05,0.04,1.48,-2.37,8.68,0.8,0.53,3.63,9.23,0.45,-1.28,4.07,0.37,0.5,-0.51,0.48,0.63,0.02,0.63,N
924,14.07,14.55,10.82,8.18,16.45,78.42,58.02,0.06,0.03,0.03,0.05,1.62,-2.81,2.71,0.73,0.49,3.11,2.1,0.53,-0.97,-0.86,0.35,0.51,-0.45,0.52,0.12,0.01,0.62,N
925,5.86,34.94,8.56,9.05,20.78,115.41,102,0.07,0.04,0.03,0.04,5.34,-7.02,-646.73,0.97,0.43,11.55,8.27,0.5,3.05,9.9,0.5,0.53,-0.84,1.37,0.68,0.01,0.61,N
926,4.62,259.26,17.3,333.33,217.32,466.67,466.67,0.06,0.04,0.04,0.03,0.21,5.28,9.35,1.03,0.5,-31.48,-2.81,0.47,-0.01,3.24,0.23,0.55,-0.09,1.06,0.2,0.02,0.61,N
927,5.34,40.77,23.94,10.54,41.07,47.71,44.3,0.04,0.06,0.12,0.07,0.47,-8.27,3.54,1.25,0.56,5.68,-3.44,0.4,0.11,-10.54,0.38,0.25,-0.35,1.67,0.29,0,0,N
928,6.03,30.92,8.05,9.31,11.19,50.73,65.83,0.04,0.06,0.07,0.08,1.04,-17.3,10.03,0.73,0.55,15.03,-11.56,0.51,2.06,14.39,0.47,0.49,-0.72,0.97,0.9,0.02,0.64,N
929,4.3,20.81,10.86,8.45,11.79,24.94,33.7,0.04,0.04,0.03,0.04,0.69,-3.97,4.89,1.57,0.54,4.29,4.47,0.46,1.66,11.52,0.46,0.65,-1.37,0.3,0.29,0.01,0.48,N
930,5.79,35.85,13.44,11.32,39.06,34.44,46.08,0.15,0.04,0.08,0.06,0.57,26.76,-9.71,0.53,0.52,-12.21,-4.78,0.53,-0.65,-3.81,0.38,0.5,-0.76,1.08,0.69,0.01,0.66,N
931,5.12,23.9,12.74,12.1,28.57,62.53,44.3,0.05,0.1,0.05,0.06,1.85,-11.56,2.01,0.73,0.57,4.3,-35.53,0.55,0.9,7.34,0.44,0.59,-0.69,1.69,0.72,0.02,0.03,N
932,6.63,11.82,7.58,7.97,11.93,19.23,21.96,0.03,0.03,0.04,0.04,1.83,-5.19,-55.58,0.34,0.52,24.47,4.09,0.53,-0.27,-3.81,0.39,0.45,-1.37,1,0.33,0.01,0.59,N
933,4.6,12.83,7.62,7.72,10.45,20.9,42.91,0.04,0.04,0.03,0.04,4.45,-45.67,1.22,1.37,0.6,3.38,2.53,0.54,1.28,5.79,0.49,0.55,-0.58,0.73,0.04,0.01,0.63,N
934,6.01,22.29,10.34,8.38,34.36,31.11,32.29,0.05,0.05,0.05,0.04,0.74,-3.9,3.31,0.76,0.62,4.85,5.79,0.55,-0.76,-0.84,0.39,0.49,-0.83,1.34,0.71,0.02,0.03,N
935,5.88,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.09,0.12,0.05,0.08,0.64,2.06,1.21,0.07,4.38,-1.31,0.3,-2.04,1.45,0.06,0.59,0.99,0.5,-0.04,0.02,0.58,N
936,6.15,10.65,15.12,7.96,13.78,49.49,61.94,0.14,0.04,0.03,0.03,1.05,-36.7,5.11,0.89,0.51,19.58,-162.44,0.47,1.81,-4.01,0.36,0.47,-0.99,1.37,0.38,0.02,0.64,N
937,-0.14,13.65,6.66,8.65,25.31,40.88,48.7,0.05,0.05,0.06,0.04,1.41,-2.43,3.68,1.6,0.59,3.19,5.51,0.42,1.87,1.61,0.42,0.58,-1.2,0.28,0.46,0.01,0.02,N
938,5.69,19.63,15.86,7.83,17.53,36.94,26.13,0.07,0.05,0.08,0.05,1.95,-34.09,68.34,0.56,0.59,-18.21,-5,0.55,1.24,4.53,0.51,0.51,-1.19,1.24,0.65,0.01,0.56,N
